year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points,neighboring,from_country_region,to_country_region,same_region,years_participated
2000,final,cy,ru,Cyprus,Russia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2000,final,cy,ie,Cyprus,Ireland,7.0,,,0,Southern Europe,Western Europe,0,19
2000,final,cy,mt,Cyprus,Malta,8.0,,,0,Southern Europe,Southern Europe,1,20
2000,final,cy,es,Cyprus,Spain,12.0,,,0,Southern Europe,Southern Europe,1,20
2002,final,cy,mt,Cyprus,Malta,12.0,,,0,Southern Europe,Southern Europe,1,20
2002,final,cy,es,Cyprus,Spain,7.0,,,0,Southern Europe,Southern Europe,1,20
2002,final,cy,ro,Cyprus,Romania,8.0,,,0,Southern Europe,Central and Eastern Europe,0,18
2002,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2003,final,cy,tr,Cyprus,Türkiye,8.0,,,0,Southern Europe,Southern Europe,1,13
2003,final,cy,ru,Cyprus,Russia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2003,final,cy,ie,Cyprus,Ireland,7.0,,,0,Southern Europe,Western Europe,0,19
2003,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2004,final,cy,ua,Cyprus,Ukraine,8.0,,,0,Southern Europe,Central and Eastern Europe,0,15
2004,final,cy,cs,Cyprus,Serbia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,14
2004,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2004,final,cy,es,Cyprus,Spain,7.0,,,0,Southern Europe,Southern Europe,1,20
2004,semi-final,cy,cs,Cyprus,Serbia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,14
2004,semi-final,cy,ua,Cyprus,Ukraine,8.0,,,0,Southern Europe,Central and Eastern Europe,0,15
2004,semi-final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2004,semi-final,cy,lt,Cyprus,Lithuania,7.0,,,0,Southern Europe,Northern Europe,0,18
2005,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2005,final,cy,ro,Cyprus,Romania,8.0,,,0,Southern Europe,Central and Eastern Europe,0,18
2005,final,cy,cs,Cyprus,Serbia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,14
2005,final,cy,hu,Cyprus,Hungary,7.0,,,0,Southern Europe,Central and Eastern Europe,0,13
2005,semi-final,cy,ro,Cyprus,Romania,12.0,,,0,Southern Europe,Central and Eastern Europe,0,18
2005,semi-final,cy,md,Cyprus,Moldova,8.0,,,0,Southern Europe,Central and Eastern Europe,0,15
2005,semi-final,cy,by,Cyprus,Belarus,7.0,,,0,Southern Europe,Central and Eastern Europe,0,16
2005,semi-final,cy,bg,Cyprus,Bulgaria,12.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2006,final,cy,ru,Cyprus,Russia,8.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2006,final,cy,ro,Cyprus,Romania,12.0,,,0,Southern Europe,Central and Eastern Europe,0,18
2006,final,cy,am,Cyprus,Armenia,7.0,,,0,Southern Europe,Central and Eastern Europe,0,13
2006,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2006,semi-final,cy,fi,Cyprus,Finland,7.0,,,0,Southern Europe,Northern Europe,0,18
2006,semi-final,cy,ru,Cyprus,Russia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2006,semi-final,cy,am,Cyprus,Armenia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,13
2006,semi-final,cy,bg,Cyprus,Bulgaria,8.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2007,final,cy,ru,Cyprus,Russia,7.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2007,final,cy,bg,Cyprus,Bulgaria,12.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2007,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2007,final,cy,am,Cyprus,Armenia,8.0,,,0,Southern Europe,Central and Eastern Europe,0,13
2007,semi-final,cy,rs,Cyprus,Serbia,8.0,,,0,Southern Europe,Central and Eastern Europe,0,14
2007,semi-final,cy,by,Cyprus,Belarus,12.0,,,0,Southern Europe,Central and Eastern Europe,0,16
2007,semi-final,cy,bg,Cyprus,Bulgaria,12.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2007,semi-final,cy,ge,Cyprus,Georgia,7.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2008,final,cy,ru,Cyprus,Russia,8.0,,,0,Southern Europe,Central and Eastern Europe,0,19
2008,final,cy,gr,Cyprus,Greece,12.0,,,0,Southern Europe,Southern Europe,1,19
2008,final,cy,am,Cyprus,Armenia,12.0,,,0,Southern Europe,Central and Eastern Europe,0,13
2008,final,cy,ge,Cyprus,Georgia,7.0,,,0,Southern Europe,Central and Eastern Europe,0,12
2008,semi-final-2,cy,ua,Cyprus,Ukraine,12.0,,,0,Southern Europe,Central and Eastern Europe,0,15
