from_country,to_country,total_points
it,al,87
gb,lu,87
mt,tr,87
lt,ie,86
hu,se,86
gr,mt,86
at,ro,86
gr,md,86
md,se,86
tr,de,86
es,md,86
dk,ee,86
gr,gb,86
cy,gb,85
gb,pl,85
no,es,85
cz,am,85
mt,ua,85
pt,ro,85
am,mt,85
es,ua,85
it,ro,85
tr,az,84
gr,no,84
ch,ba,84
il,ee,84
se,it,84
il,au,84
nl,es,84
lu,il,84
ro,dk,84
dk,mt,84
nl,cy,83
gb,es,83
gr,ge,83
de,hr,83
mt,bg,83
mc,gb,83
fi,lu,83
pl,si,83
lt,nl,83
il,de,83
by,il,83
lt,by,83
lu,it,82
nl,hu,82
is,be,82
gb,lv,82
is,ie,82
lu,nl,82
hr,ua,82
it,mt,82
no,pl,82
cy,dk,81
yu,ch,81
gr,ch,81
si,be,81
cz,se,81
tr,gr,81
nl,lu,81
gb,ee,81
ee,cy,81
is,il,81
es,bg,81
am,md,81
at,rs,81
no,ru,81
es,ch,80
dk,ua,80
si,nl,80
nl,mt,80
tr,yu,80
no,bg,80
at,es,80
mk,ro,80
dk,cy,80
de,lu,80
by,se,80
it,lu,79
dk,il,79
at,hu,79
no,pt,79
no,au,79
de,ba,79
ua,am,78
lv,be,78
by,bg,78
rs,ba,78
ua,no,78
bg,il,78
nl,ru,78
it,be,78
il,it,78
pl,ru,77
sm,no,77
at,mt,77
ge,ru,77
fr,pl,77
se,lu,77
mt,is,77
de,au,77
pt,dk,77
md,by,77
md,no,77
no,at,77
ua,pl,77
me,ba,77
me,gr,77
sm,nl,76
bg,cy,76
dk,ba,76
gb,au,76
tr,it,76
fr,ee,76
rs,bg,76
is,cz,76
hr,nl,76
ro,no,76
be,lu,76
lu,se,76
tr,am,75
is,de,75
gr,nl,75
de,is,75
al,ba,75
si,at,75
be,ro,75
ch,dk,75
bg,at,75
pl,dk,75
lv,nl,75
fi,au,74
ba,se,74
cy,ch,74
ie,es,74
hr,no,73
az,ro,73
hr,az,73
be,fi,73
gr,pt,73
lv,au,73
mk,si,73
ru,se,73
fr,mt,73
am,fr,73
si,it,73
cy,be,73
il,bg,72
hr,gr,72
at,lu,72
ua,il,72
gb,it,72
sm,se,72
hu,bg,72
tr,mk,72
pl,il,72
sm,az,72
nl,rs,72
al,ru,72
az,al,72
az,tr,72
rs,gr,72
cy,mt,72
tr,at,71
fr,ru,71
ch,is,71
es,lu,71
fr,ba,71
lt,pl,71
gr,bg,71
lt,at,71
hu,gr,71
dk,fi,71
by,az,71
pt,ru,71
au,md,71
at,bg,71
lt,dk,71
ee,mt,70
pt,fi,70
lv,is,70
au,be,70
yu,se,70
ru,ge,70
dk,lv,70
bg,az,70
de,rs,70
at,tr,70
se,gr,70
hr,ie,70
lu,pt,70
yu,lu,69
mt,lv,69
nl,ee,69
gb,yu,69
es,au,69
tr,ua,69
fr,bg,69
rs,me,69
rs,se,69
az,hu,69
bg,rs,69
fr,hu,68
il,yu,68
ru,il,68
ru,ro,68
am,il,68
gr,ua,68
ch,cy,68
cz,ua,68
ba,mt,68
sm,ru,68
gr,il,68
fr,is,68
me,am,68
pl,am,68
no,cy,68
pl,ee,67
is,gr,67
pl,az,67
gb,ua,67
es,cz,67
pl,lv,67
il,mt,67
de,hu,67
yu,nl,67
nl,fi,67
lv,md,67
es,hu,66
by,gr,66
it,pt,66
il,is,66
ch,mt,66
md,gr,66
hr,gb,66
no,rs,66
ru,cy,66
gr,se,66
bg,ru,66
se,hu,65
hu,ro,65
hu,pl,65
it,cy,65
ge,lv,65
il,by,65
lu,be,65
gb,ru,65
me,ua,65
hr,dk,65
tr,ge,65
lv,pt,65
lv,az,64
pl,de,64
hr,cz,64
mk,se,64
ru,ee,64
ru,mt,64
ad,pt,64
hr,it,64
de,bg,64
dk,ro,64
no,lv,64
lv,mt,64
sm,hu,64
yu,ie,64
pt,cy,64
by,ee,64
pl,fi,64
se,es,64
lt,be,64
tr,il,63
si,me,63
be,yu,63
no,ee,63
tr,be,63
ie,is,63
ge,cy,63
be,al,63
ru,be,63
si,lv,63
ba,gr,63
ro,ch,63
fi,mt,63
hu,ua,63
rs,no,63
pl,is,62
fr,au,62
am,nl,62
fr,fi,62
es,ee,62
ch,hu,62
be,pl,62
sm,mt,62
it,pl,62
hu,rs,62
de,lv,62
ua,hu,61
md,au,61
yu,il,61
am,no,61
pl,pt,61
cz,il,61
me,it,61
ro,mt,61
no,lu,61
it,gr,61
ua,hr,61
ru,dk,61
nl,ua,61
ie,gr,61
ie,ua,61
pl,nl,61
mt,es,60
by,pl,60
ad,es,60
fr,mc,60
me,hr,60
at,al,60
is,ua,60
mc,de,60
tr,ch,60
hu,au,60
hr,bg,60
is,az,60
tr,al,60
ru,fr,60
ba,fr,59
de,am,59
al,hu,59
se,rs,59
gr,is,59
ua,lt,59
cy,yu,59
hr,se,59
at,pl,59
cz,ru,59
be,mt,59
cy,pt,59
ro,mk,59
de,ro,59
cs,mk,59
gb,ro,59
no,tr,59
lt,fr,58
be,ua,58
rs,it,58
nl,is,58
mk,gr,58
al,il,58
cy,at,58
cy,md,58
am,by,58
si,ee,58
fr,cy,57
tr,no,57
no,hu,57
hr,il,57
ba,ru,57
rs,au,57
cy,ge,57
pl,lt,57
mc,es,57
by,mt,57
at,gr,57
si,gr,57
by,au,57
nl,az,57
hu,at,57
sm,cy,57
pt,az,56
il,hu,56
me,md,56
ee,bg,56
hu,mt,56
il,md,56
hr,tr,56
de,cy,56
pl,gr,56
az,by,56
de,mc,56
pl,ge,56
lt,ch,56
it,mc,56
si,au,56
al,au,56
gr,ee,56
hr,ch,56
ro,am,56
ro,cy,55
se,ua,55
gb,md,55
es,tr,55
tr,hr,55
hu,ee,55
gb,mc,55
tr,ro,55
lv,ie,55
lv,ge,55
fi,tr,55
is,lv,55
mk,az,55
mk,it,55
is,pl,55
al,es,55
cy,de,55
mc,it,55
at,ee,55
no,ua,54
mc,ch,54
al,no,54
cy,hr,54
ie,pt,54
mk,il,54
pt,mt,54
ba,ua,54
is,mt,54
sm,am,54
es,ad,54
ru,hu,54
mk,nl,54
ro,ua,54
ba,ie,54
me,se,54
lt,is,54
il,lv,54
nl,hr,54
ge,be,53
ge,md,53
se,az,53
ba,az,53
dk,bg,53
ch,lu,53
by,be,53
au,il,53
ee,gb,53
si,cz,53
dk,yu,53
by,is,53
dk,lt,53
se,lv,53
lv,by,53
bg,ro,53
ba,at,53
fi,ba,53
az,no,53
pl,ie,53
md,ge,52
si,bg,52
be,cz,52
rs,md,52
sm,il,52
cz,pt,52
yu,de,52
yu,cy,52
cz,bg,52
ie,yu,52
mt,am,52
be,hu,52
bg,be,52
fr,md,52
mt,at,52
si,md,52
mt,by,51
ua,dk,51
at,is,51
ge,pt,51
si,ch,51
pl,rs,51
se,md,51
is,al,51
me,mk,51
es,yu,51
de,ee,51
sm,al,51
sm,md,51
al,mt,51
nl,ro,51
ge,gr,51
hu,il,51
gr,by,51
mc,ie,51
at,cz,51
be,bg,51
it,ru,51
md,ee,51
md,bg,51
mc,il,50
me,mt,50
gr,rs,50
mt,au,50
no,az,50
dk,hu,50
be,ee,50
ee,fr,50
ru,si,50
cy,nl,50
tr,ru,50
ee,by,50
ee,az,49
il,pt,49
ad,ua,49
mc,nl,49
pt,si,49
am,pt,49
fi,yu,49
pl,fr,49
rs,il,49
au,bg,49
ru,rs,49
si,is,49
ad,fi,49
lu,no,49
al,de,49
si,cy,49
yu,es,49
by,cy,49
tr,bg,49
mk,md,49
cz,hu,48
be,lv,48
il,cz,48
pt,lv,48
fr,az,48
se,ro,48
sm,is,48
sk,mt,48
hu,ie,48
si,il,48
il,ge,48
si,gb,48
si,pt,48
hr,fr,48
lt,it,48
al,pt,48
ro,es,48
cy,is,48
is,yu,48
ee,de,48
tr,pt,48
sk,ee,48
it,au,47
lt,bg,47
hu,cz,47
pt,hu,47
ru,lt,47
md,il,47
ch,au,47
ro,ie,47
ee,cz,47
at,pt,47
cy,ee,47
se,am,47
is,it,47
bg,hu,47
ge,il,47
se,mc,47
me,hu,46
ch,lv,46
pt,lt,46
is,ro,46
ge,ee,46
cy,hu,46
hu,md,46
at,az,46
ro,bg,46
ge,no,46
nl,mc,46
md,pt,46
au,dk,46
lt,il,46
al,ch,46
az,bg,46
de,ua,45
cy,lt,45
lt,mt,45
nl,bg,45
se,pl,45
ua,lv,45
ch,bg,45
se,yu,45
ad,il,45
lv,fi,45
cy,by,45
pt,cz,45
sm,bg,45
il,lu,45
il,si,45
pl,ro,45
ee,ch,45
sk,se,45
gr,dk,45
gr,hu,45
is,gb,44
cy,fi,44
ro,at,44
me,no,44
lv,de,44
au,no,44
hu,cy,44
bg,lt,44
hr,at,44
es,az,44
rs,be,44
mt,be,44
is,hr,44
fi,bg,44
am,me,44
by,rs,44
at,fi,44
sm,ua,44
gr,pl,44
mk,by,44
ba,no,44
az,sm,44
hu,hr,44
si,ie,44
al,me,43
rs,dk,43
mc,be,43
mc,lu,43
pl,md,43
fi,ua,43
nl,pl,43
lu,mc,43
am,cz,43
ie,az,43
cy,rs,43
fr,yu,43
si,az,43
lt,fi,43
ba,al,43
cs,hr,42
yu,tr,42
pl,ch,42
it,az,42
no,yu,42
cz,si,42
si,hu,42
yu,be,42
mt,fi,42
by,lv,42
am,ch,42
il,tr,42
al,be,42
dk,gr,42
fi,cz,42
ee,ge,42
al,ro,42
tr,md,42
au,is,42
si,de,42
mk,no,41
si,pl,41
ua,be,41
mk,am,41
yu,at,41
hu,si,41
ua,ee,41
sk,ba,41
cs,ba,41
mc,fi,41
al,fr,41
pt,hr,41
pt,bg,41
nl,au,41
mt,de,41
hr,pt,41
lt,au,41
cz,au,41
fi,mc,41
cz,cy,40
dk,az,40
bg,by,40
tr,fi,40
ua,bg,40
az,pt,40
dk,md,40
lu,yu,40
pl,at,40
ua,nl,40
me,cy,40
gr,hr,40
be,mc,40
gr,au,40
mt,mk,40
hr,lt,40
ch,lt,40
pl,by,40
ro,be,40
ch,mc,40
nl,yu,40
mt,fr,40
al,nl,40
bg,md,40
fi,lv,39
al,sm,39
se,lt,39
by,cz,39
pl,gb,39
mk,be,39
fi,rs,39
cz,rs,39
at,am,39
md,be,39
ua,tr,39
ro,it,39
ie,si,39
ie,au,39
az,cy,39
mt,sm,39
es,mc,39
am,mk,39
me,sm,39
ru,ie,39
yu,fi,39
si,ro,38
al,hr,38
ru,de,38
cy,au,38
ie,md,38
ie,mc,38
cz,nl,38
nl,si,38
it,fi,38
hu,ch,38
ro,hr,38
hu,gb,38
ba,me,38
dk,es,38
tr,fr,38
ru,gb,38
ua,au,38
mt,ee,38
si,fr,38
ua,fr,38
is,rs,38
be,md,38
cz,pl,38
al,ua,38
lv,pl,37
lv,si,37
bg,ge,37
am,it,37
mk,au,37
by,hu,37
pl,it,37
au,cz,37
ro,rs,37
at,mk,37
rs,mt,37
de,yu,37
be,az,37
gr,de,37
lu,dk,37
fi,si,37
lt,md,37
ge,tr,37
ro,de,37
mt,pt,37
lv,ch,37
ie,hr,37
ie,hu,37
at,yu,37
ge,at,37
al,md,37
hu,be,37
lu,fi,36
az,se,36
mt,lu,36
hr,cs,36
hr,es,36
gr,tr,36
it,rs,36
dk,lu,36
ch,cs,36
by,nl,36
by,hr,36
mc,se,36
it,is,36
by,dk,36
hu,fi,36
at,cs,36
bg,hr,36
dk,it,36
cz,is,36
hu,sm,36
il,hr,36
am,be,36
lt,pt,36
es,hr,35
si,al,35
rs,pt,35
ro,si,35
ru,nl,35
ua,gr,35
hr,de,35
cz,mt,35
rs,cy,35
cs,gr,35
ge,rs,35
at,si,35
lt,gr,35
ru,fi,35
hu,al,35
sm,lv,35
hu,it,35
fr,hr,34
lt,si,34
it,ee,34
al,am,34
cz,be,34
gb,hr,34
by,pt,34
es,si,34
tr,is,34
ge,bg,34
ad,ro,34
pt,au,34
it,bg,34
ge,it,34
lt,cy,34
rs,nl,34
pl,cy,34
ad,gr,34
mt,hu,34
ba,il,34
sm,dk,34
ua,pt,34
lv,it,34
ba,cs,34
at,md,34
mc,dk,34
mk,fi,34
mt,lt,34
si,cs,34
az,mk,34
az,me,34
au,pt,34
ee,au,34
es,pl,33
ba,gb,33
ru,hr,33
fi,md,33
by,ch,33
ge,nl,33
ee,gr,33
ee,ro,33
gb,az,33
lv,at,33
bg,se,33
mk,cy,33
ba,de,33
ch,ro,33
no,hr,33
at,cy,32
no,mc,32
lv,cy,32
si,mt,32
tr,dk,32
ru,pl,32
be,ge,32
dk,pt,32
bg,au,32
lv,hu,32
mk,ee,32
it,yu,32
hu,pt,32
cy,lu,32
pt,rs,32
be,lt,32
is,lt,32
ua,si,32
sm,rs,32
me,ro,32
by,at,32
ad,se,32
md,cy,32
pl,cz,32
yu,mc,32
lt,de,32
lu,mt,31
lv,am,31
me,dk,31
bg,ba,31
si,fi,31
lv,fr,31
pt,mc,31
al,rs,31
sm,gb,31
ru,is,31
fi,al,31
mc,gr,31
al,gb,31
mk,lv,31
az,lv,31
hr,lv,31
mk,dk,31
hu,by,31
dk,al,31
az,it,31
de,si,31
de,al,31
cz,ie,31
fi,pl,31
am,bg,31
sk,gr,31
ge,mt,31
nl,md,31
md,nl,31
ge,au,31
sm,au,31
by,si,31
is,tr,31
pl,bg,31
fr,si,31
pt,yu,30
fr,ua,30
am,at,30
mt,ba,30
de,mk,30
hu,tr,30
fi,ro,30
at,ua,30
nl,lt,30
lv,bg,30
yu,pt,30
ge,dk,30
hr,ee,30
ee,si,30
au,lt,30
cz,md,30
lv,gb,30
md,dk,30
cy,al,30
ch,ru,30
az,lt,30
se,si,30
ru,lv,30
mk,cs,30
is,md,30
cy,cs,30
sk,ua,30
is,si,30
at,au,30
cz,at,30
no,md,30
md,lv,30
ba,es,30
cy,cz,30
ro,au,29
lt,hu,29
ee,pl,29
lu,gr,29
au,ru,29
mt,si,29
fi,am,29
sk,az,29
ch,yu,29
me,bg,29
ee,pt,29
bg,dk,29
mk,hu,29
sm,me,29
hr,md,29
ua,ro,29
pl,mt,29
mt,ge,29
gb,al,29
ua,rs,29
au,gb,29
me,is,29
md,it,29
au,pl,28
mk,cz,28
fr,lv,28
ge,hu,28
ua,mt,28
ru,mk,28
md,rs,28
ee,it,28
mk,gb,28
md,lt,28
mc,ba,28
hu,am,28
md,is,28
md,mk,28
no,si,28
gb,hu,28
se,cs,28
ua,cy,28
az,nl,28
fi,lt,28
ro,pt,28
at,mc,28
au,lv,27
md,hu,27
md,cz,27
mc,no,27
sm,ro,27
md,mt,27
lt,cz,27
me,au,27
ua,mk,27
by,fi,27
mt,al,27
by,ro,27
se,al,27
mt,sk,27
ch,pl,27
sk,no,27
ee,hr,27
mt,md,27
ru,it,27
hr,ro,27
ua,cs,27
il,lt,27
ru,at,27
mk,me,27
rs,lt,27
sk,hr,27
gr,si,27
gr,sm,27
es,lv,27
lt,hr,27
lu,at,27
se,hr,27
yu,no,27
sm,cz,27
sk,ie,27
sk,be,27
gr,cz,27
gb,ge,27
it,si,27
ge,pl,27
tr,lu,26
mc,at,26
ge,cz,26
ad,fr,26
au,rs,26
az,ee,26
hu,ge,26
dk,pl,26
es,rs,26
mt,rs,26
ad,no,26
nl,cs,26
de,md,26
am,is,26
am,ro,26
bg,mt,26
md,at,26
au,fr,26
be,ba,26
sm,be,26
cy,si,26
be,rs,26
mk,ch,26
me,pt,26
am,rs,26
bg,nl,26
is,es,26
me,il,26
au,ua,25
bg,no,25
cz,lv,25
ge,si,25
ge,ro,25
lv,hr,25
lv,gr,25
ba,pl,25
gr,lu,25
es,al,25
ba,am,25
at,by,25
se,bg,25
cz,mk,25
ru,tr,25
ch,ua,25
rs,by,25
ee,il,25
tr,hu,25
is,am,25
cs,ua,25
au,gr,25
sm,pl,25
cz,dk,25
de,cs,25
ro,is,25
am,ee,24
ad,is,24
al,si,24
me,by,24
at,lv,24
md,al,24
gb,mk,24
ba,ro,24
it,lt,24
mc,cy,24
il,mc,24
cy,lv,24
az,ch,24
ie,tr,24
by,al,24
de,ge,24
ie,ba,24
dk,mk,24
az,ba,24
hu,de,24
sm,pt,24
ro,ba,24
fi,az,24
gr,cs,24
ge,sm,24
pl,hr,24
ro,cs,24
ch,ee,24
pt,al,23
it,tr,23
lt,ro,23
it,mk,23
ru,au,23
ch,az,23
il,pl,23
au,ee,23
al,pl,23
al,is,23
hr,au,23
ro,pl,23
nl,lv,23
mk,pt,23
hr,fi,23
au,mt,23
az,cz,23
mc,pt,23
sm,ie,23
lv,ro,22
rs,is,22
rs,ch,22
si,by,22
cs,al,22
lt,gb,22
dk,si,22
dk,rs,22
hu,lv,22
ua,ba,22
be,si,22
rs,ro,22
ba,be,22
md,fi,22
tr,ee,22
cz,by,22
cz,ba,22
ru,ch,22
by,mk,22
al,fi,22
ru,es,22
ro,fi,22
lv,il,22
ad,ru,22
au,cy,22
ba,cz,22
au,nl,21
fr,al,21
by,ba,21
md,sm,21
rs,az,21
md,ba,21
pl,es,21
cy,pl,21
sm,si,21
no,al,21
il,mk,21
pt,tr,21
bg,cz,21
sk,rs,21
rs,ee,21
fi,hr,21
bg,al,21
az,pl,21
no,mk,21
ee,md,21
mt,pl,21
ba,nl,21
bg,de,21
fi,ge,20
ee,sm,20
ro,gb,20
fi,cs,20
cz,ee,20
pl,ba,20
al,ie,20
cz,it,20
rs,cz,20
ro,al,20
de,az,20
gr,ba,20
az,au,20
cz,no,20
si,es,20
pt,ba,20
ba,fi,20
az,si,20
by,cs,20
pt,am,20
md,me,19
es,sm,19
ru,al,19
pl,al,19
si,lt,19
be,hr,19
cz,hr,19
ad,nl,19
am,ba,19
se,cz,19
bg,gb,19
au,si,19
de,lt,19
lu,tr,19
bg,pl,19
md,hr,19
sm,tr,19
sk,is,19
sk,de,19
au,ie,19
is,by,19
ba,ee,19
fr,cz,19
me,be,18
ba,bg,18
gb,si,18
ad,dk,18
ge,fr,18
rs,de,18
hr,is,18
nl,mk,18
md,ch,18
fr,by,18
al,dk,18
ad,mt,18
sm,hr,18
gr,yu,18
tr,si,18
gr,me,18
si,tr,18
sk,cy,18
hu,es,18
se,mk,18
mt,me,18
mc,yu,18
am,dk,18
by,it,18
pt,ge,18
si,am,18
by,tr,18
ie,cz,18
is,ba,18
cz,ge,18
az,dk,17
sm,fi,17
hr,me,17
it,lv,17
al,cs,17
az,hr,17
yu,gr,17
yu,mt,17
ad,hu,17
hr,by,17
it,ge,17
rs,at,17
bg,fr,17
bg,fi,17
rs,ge,17
sm,ge,17
az,be,17
az,ie,17
sm,lt,17
ro,ee,17
sk,gb,17
am,hr,17
pt,cs,17
dk,cs,17
ad,mc,17
nl,cz,16
mk,lt,16
au,mk,16
no,cz,16
mk,ie,16
sk,dk,16
ru,cs,16
fr,cs,16
no,cs,16
gb,ba,16
am,tr,16
sk,md,16
gb,cz,16
gr,mc,16
ua,at,16
al,ee,16
rs,am,16
al,at,16
au,hu,16
si,ge,16
dk,mc,16
mc,hr,16
pt,pl,16
lt,tr,16
hr,ge,16
lt,rs,16
me,tr,15
au,it,15
is,bg,15
ge,de,15
hu,fr,15
ro,fr,15
fr,mk,15
cs,fi,15
ee,am,15
au,fi,15
gb,am,15
is,ge,15
me,nl,15
ad,az,15
pt,by,15
mt,cz,15
md,si,15
me,cz,15
hr,be,15
mk,fr,15
cz,al,15
mc,ua,15
il,cs,15
it,hu,15
am,gb,15
se,me,15
ru,ba,15
lv,cz,15
gr,lv,15
cz,fi,15
cz,gb,15
au,de,15
se,ge,15
ad,tr,15
mk,ge,15
bg,ee,15
tr,cs,15
sm,de,14
ro,by,14
ie,by,14
ua,sk,14
bg,si,14
au,es,14
am,fi,14
mc,cs,14
fi,by,14
al,lt,14
ba,hu,14
es,lt,14
mk,at,14
am,sm,14
it,sm,14
cs,si,14
bg,pt,14
am,pl,14
ie,ge,14
ua,cz,14
ee,tr,14
ie,rs,14
ch,md,14
cs,hu,14
hr,pl,14
es,cs,14
hr,am,13
md,fr,13
md,es,13
au,ge,13
hu,lt,13
ro,lv,13
cz,gr,13
ba,au,13
ge,is,13
ge,al,13
il,rs,13
ge,ch,13
lv,rs,13
lv,mk,13
lv,es,13
lu,is,13
ee,rs,13
