from_country,to_country,total_points
cy,gr,467
no,se,453
dk,se,449
gr,cy,448
gb,ie,325
fi,se,322
no,dk,307
se,dk,307
se,no,301
is,se,288
gb,se,278
dk,no,277
nl,se,272
be,nl,268
fr,pt,262
es,pt,261
md,ro,257
mk,al,253
ie,gb,252
fr,il,252
de,se,250
is,dk,248
ee,ru,245
ro,md,245
md,ru,245
se,ie,244
ie,se,243
es,de,237
es,it,234
al,gr,230
nl,be,229
lv,ru,229
ie,no,228
pt,es,221
ee,se,219
ch,se,219
nl,dk,218
pt,it,218
be,se,218
am,ru,217
ch,ie,217
by,ua,215
mt,se,214
at,ie,214
by,ru,212
nl,no,211
fi,il,209
il,se,208
be,ie,208
de,tr,208
ch,gb,207
gr,al,206
pt,se,205
fi,ee,204
is,no,202
at,se,200
ie,nl,199
de,nl,198
de,no,197
no,ie,197
ch,it,195
ie,dk,195
fr,nl,195
fr,gb,195
se,fi,194
hr,ba,194
ie,lt,194
dk,de,193
es,gr,192
ch,il,192
dk,nl,192
fi,no,191
de,il,190
fr,tr,190
no,nl,190
se,is,190
at,ch,190
lv,ee,190
lt,lv,189
at,gb,189
at,nl,189
se,nl,189
ch,pt,188
ch,de,187
de,gb,187
ru,az,187
dk,ie,187
ru,am,187
ch,fr,186
be,fr,186
si,rs,185
pt,de,185
nl,il,185
fr,it,184
si,hr,184
fr,se,184
mk,rs,184
be,gb,184
al,mk,183
lv,lt,183
gb,ch,183
es,se,182
fr,es,182
az,ru,182
il,ro,182
lv,se,181
gb,lt,181
si,se,180
gb,il,180
me,rs,179
fr,be,179
md,ua,178
de,ie,178
pt,be,178
ch,nl,177
pt,gb,176
nl,ie,176
ba,hr,176
tr,ba,175
fi,it,175
lu,gb,174
no,fi,174
ch,es,174
mt,it,173
es,ie,172
de,ch,172
gb,dk,171
gr,ru,171
gb,de,171
pl,ua,171
ru,md,170
il,ru,170
be,de,169
fi,is,169
es,ro,169
cy,ru,169
se,gb,168
nl,tr,168
ee,fi,168
ie,de,168
ie,ch,168
no,is,167
no,fr,167
nl,de,167
lt,ru,166
ge,az,166
nl,ch,166
ro,gr,166
md,az,165
is,fi,164
lv,ua,164
no,gb,163
cy,se,163
nl,fr,162
be,il,162
ch,no,162
ie,be,162
dk,is,161
no,il,161
es,il,160
ch,al,160
mk,bg,160
fi,ch,160
il,fr,159
de,fr,159
gb,cy,158
gr,am,158
hr,mk,157
ge,ua,157
be,gr,157
hr,rs,156
rs,hu,156
pt,il,156
ua,by,155
es,gb,155
be,no,155
ie,fr,155
il,gb,155
gb,mt,155
nl,gb,155
ch,tr,154
ie,il,154
fr,de,154
no,ch,153
dk,gb,153
ee,no,152
mk,hr,152
es,be,151
es,nl,151
si,ba,151
se,de,150
de,dk,150
lt,ua,150
gb,at,149
gb,gr,149
de,gr,148
at,fr,148
ru,ua,148
be,at,148
es,fr,148
be,es,147
lt,ge,147
it,fr,147
gr,fr,146
ge,am,146
gb,no,146
ie,at,146
se,fr,146
am,gr,146
fi,ie,144
at,de,144
pt,fr,144
il,ua,144
fi,be,144
mt,gb,144
ua,ru,144
lt,se,144
il,dk,144
ch,rs,143
pt,ie,143
gb,tr,143
fi,gb,143
gb,be,143
fr,am,142
il,nl,142
gr,es,141
nl,am,141
am,ge,141
lt,ee,141
be,tr,140
de,pl,140
de,be,139
az,ua,138
no,lt,138
be,ch,138
gb,nl,138
lt,no,137
ch,at,136
ee,lv,136
ee,dk,136
ro,hu,136
rs,mk,135
fi,fr,135
hr,si,135
il,gr,134
mt,nl,133
ba,tr,133
pl,se,132
mt,ru,132
al,it,132
mt,gr,130
it,gb,130
be,it,129
be,pt,129
fi,nl,129
it,ie,128
ro,ru,128
lv,no,128
se,il,128
il,no,128
fi,ru,128
se,ba,127
de,at,127
pl,no,126
pt,md,126
be,am,126
tr,gb,126
gb,fr,126
il,es,125
dk,ch,125
mk,tr,125
fr,dk,125
de,it,125
dk,be,125
pt,nl,125
mt,az,124
tr,ie,124
lv,dk,124
cy,es,123
at,il,123
nl,gr,123
me,ru,123
at,it,122
ie,lv,122
si,dk,122
fr,ie,122
es,is,122
mt,no,122
se,at,121
ua,md,121
fr,ch,121
am,cy,121
ie,ee,121
me,al,121
lu,fr,121
es,am,121
no,de,120
si,mk,120
cy,bg,120
it,es,120
be,dk,120
hu,nl,119
ee,nl,119
cy,it,119
se,ee,119
mt,il,119
it,ch,119
mt,cy,119
tr,es,118
fr,at,118
si,no,118
de,pt,118
at,dk,118
fi,dk,118
pt,no,117
pt,ua,117
gb,fi,117
ua,az,117
nl,at,117
at,hr,117
de,es,117
mk,ba,116
lu,ie,116
fr,gr,115
cy,il,115
pl,au,115
ie,mt,115
ua,ge,115
is,pt,115
fi,hu,114
ie,it,114
pt,ch,114
ba,mk,114
dk,at,114
ie,fi,114
gr,az,114
al,tr,113
hr,ru,113
hr,mt,113
gr,ro,113
ee,ua,113
ru,no,113
pt,gr,112
bg,gr,112
es,cy,112
hu,dk,112
ru,gr,112
gr,it,112
cy,az,112
hr,hu,112
es,at,111
sm,gr,111
cy,am,111
it,dk,111
it,ua,110
bg,am,110
hu,az,110
es,no,110
ba,si,110
ie,ro,110
ba,rs,110
il,am,110
bg,mk,109
gb,is,109
cz,az,109
se,be,109
hu,is,109
fi,cy,108
mt,ro,108
it,se,108
gr,ie,108
is,nl,108
fi,at,108
at,ba,108
it,de,107
ro,tr,107
ee,hu,107
no,be,107
cy,ua,107
de,ru,107
it,no,107
pt,is,106
mt,ie,106
pl,be,106
il,at,106
at,ru,106
hu,no,106
se,ch,106
lu,ch,106
no,it,105
ie,cy,105
ch,gr,105
nl,pt,105
lt,az,104
by,md,104
il,cy,104
is,cy,104
au,se,104
cy,ie,103
se,ru,103
ie,ru,103
it,md,103
fr,rs,103
is,fr,103
is,ee,103
hu,ru,102
cy,fr,102
it,at,102
ch,mk,102
es,ru,102
am,ua,102
se,pt,101
mc,fr,101
ee,lt,101
by,lt,101
ch,hr,101
es,fi,101
ch,fi,100
rs,ru,100
am,se,100
hr,al,100
se,mt,100
by,no,99
mt,ch,99
gb,bg,99
fi,es,99
se,cy,99
ge,lt,99
il,fi,98
be,is,98
ch,be,98
il,ch,97
az,gr,97
pt,lu,97
tr,se,97
rs,si,97
de,fi,97
se,au,96
gr,at,96
be,cy,96
it,nl,96
de,mt,96
es,dk,96
bg,tr,96
ee,ie,96
pt,at,95
il,ie,95
yu,gb,95
bg,ua,95
pl,hu,95
fi,de,95
ie,lu,95
tr,nl,95
yu,it,94
is,au,94
fi,gr,94
il,be,94
ee,be,93
gb,pt,93
pt,ee,93
is,ru,93
es,mt,93
fr,ro,93
yu,fr,93
fi,pt,93
nl,it,93
tr,mt,93
az,md,93
ie,pl,93
al,az,92
mk,ru,92
at,no,92
dk,au,92
cy,no,92
si,ru,92
by,am,92
is,at,92
ro,se,92
mt,hr,92
mk,ua,92
no,ba,92
mt,dk,92
il,az,92
cy,ro,91
mk,mt,91
fr,no,91
az,il,91
se,tr,91
ge,se,91
is,hu,91
me,si,91
lu,es,91
no,mt,91
ee,is,91
nl,ba,90
dk,tr,90
be,au,89
al,se,89
rs,hr,89
az,ge,89
ro,az,89
dk,fr,89
fr,lu,89
az,mt,89
no,ro,89
si,ua,89
ro,nl,89
ru,by,89
ie,bg,88
it,il,88
al,bg,88
me,az,88
md,am,88
sm,it,88
by,ge,88
no,gr,87
al,cy,87
gr,be,87
at,be,87
ee,at,87
dk,ru,87
rs,ua,87
ua,se,87
lu,de,87
gr,fi,87
ge,by,87
hr,cy,87
be,ru,87
is,ch,87
ro,il,87
