year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points,neighboring,from_country_region,to_country_region,same_region,years_participated,mean
2000,final,be,tr,Belgium,Türkiye,3.0,,,0,Western Europe,Southern Europe,0,34,3.0
2000,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2000,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2000,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2001,final,fr,tr,France,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.0
2001,final,de,tr,Germany,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.0
2001,final,nl,tr,Netherlands,Türkiye,3.0,,,0,Western Europe,Southern Europe,0,34,3.0
2002,final,be,tr,Belgium,Türkiye,0.0,,,0,Western Europe,Southern Europe,0,34,0.0
2002,final,fr,tr,France,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.0
2002,final,de,tr,Germany,Türkiye,0.0,,,0,Western Europe,Southern Europe,0,34,0.0
2003,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2003,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2003,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2003,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2004,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2004,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2004,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2004,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2005,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2005,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
