year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points,neighboring,from_country_region,to_country_region,same_region,years_participated,mean
2005,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2005,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2006,final,be,tr,Belgium,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.5
2006,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2006,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,10.0
2006,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2006,semi-final,be,tr,Belgium,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,7.5
2006,semi-final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2006,semi-final,de,tr,Germany,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,10.0
2006,semi-final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,semi-final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,semi-final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,semi-final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2007,semi-final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2008,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2008,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2008,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2008,final,nl,tr,Netherlands,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2008,semi-final-2,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2009,final,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2009,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2009,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2009,final,nl,tr,Netherlands,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,8.0
2009,semi-final-1,be,tr,Belgium,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2009,semi-final-1,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2010,final,be,tr,Belgium,Türkiye,6.0,,,0,Western Europe,Southern Europe,0,34,6.0
2010,final,fr,tr,France,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2010,final,de,tr,Germany,Türkiye,12.0,,,0,Western Europe,Southern Europe,0,34,12.0
2010,final,nl,tr,Netherlands,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,7.5
2010,semi-final-2,nl,tr,Netherlands,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.5
2012,final,be,tr,Belgium,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.0
2012,final,fr,tr,France,Türkiye,5.0,,,0,Western Europe,Southern Europe,0,34,6.0
2012,final,de,tr,Germany,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,7.0
2012,final,nl,tr,Netherlands,Türkiye,8.0,,,0,Western Europe,Southern Europe,0,34,7.5
2012,semi-final-2,fr,tr,France,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,6.0
2012,semi-final-2,de,tr,Germany,Türkiye,6.0,,,0,Western Europe,Southern Europe,0,34,7.0
2012,semi-final-2,nl,tr,Netherlands,Türkiye,7.0,,,0,Western Europe,Southern Europe,0,34,7.5
