from_country,to_country,neighboring,from_country_region,to_country_region,same_region,mean,count
Andorra,Slovenia,0,Western Europe,Central and Eastern Europe,0,0.8,5
Andorra,Spain,1,Western Europe,Southern Europe,0,10.0,6
Andorra,Sweden,0,Western Europe,Northern Europe,0,3.25,6
Andorra,Switzerland,0,Western Europe,Western Europe,1,1.7,5
Andorra,Türkiye,0,Western Europe,Southern Europe,0,1.5,6
Andorra,Ukraine,0,Western Europe,Central and Eastern Europe,0,5.916666666666667,6
Andorra,United Kingdom,0,Western Europe,Western Europe,1,1.0,6
Armenia,Albania,0,Central and Eastern Europe,Central and Eastern Europe,1,0.1875,12
Armenia,Andorra,0,Central and Eastern Europe,Western Europe,0,0.0,4
Armenia,Australia,0,Central and Eastern Europe,Non-European,0,1.2,5
Armenia,Austria,0,Central and Eastern Europe,Western Europe,0,1.25,8
Armenia,Azerbaijan,1,Central and Eastern Europe,Central and Eastern Europe,1,0.18181818181818182,11
Armenia,Belarus,0,Central and Eastern Europe,Central and Eastern Europe,1,4.2,10
Armenia,Belgium,0,Central and Eastern Europe,Western Europe,0,1.7045454545454546,11
Armenia,Bulgaria,0,Central and Eastern Europe,Central and Eastern Europe,1,2.75,8
Armenia,Croatia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.175,10
Armenia,Cyprus,0,Central and Eastern Europe,Southern Europe,0,5.0,8
Armenia,Czech Republic,0,Central and Eastern Europe,Central and Eastern Europe,1,2.0833333333333335,6
Armenia,Denmark,0,Central and Eastern Europe,Northern Europe,0,1.0208333333333333,12
Armenia,Estonia,0,Central and Eastern Europe,Northern Europe,0,0.9772727272727273,11
Armenia,Finland,0,Central and Eastern Europe,Northern Europe,0,0.6363636363636364,11
Armenia,France,0,Central and Eastern Europe,Western Europe,0,3.9615384615384617,13
Armenia,Georgia,1,Central and Eastern Europe,Central and Eastern Europe,1,10.0625,8
Armenia,Germany,0,Central and Eastern Europe,Western Europe,0,0.6538461538461539,13
Armenia,Greece,0,Central and Eastern Europe,Southern Europe,0,6.8076923076923075,13
Armenia,Hungary,0,Central and Eastern Europe,Central and Eastern Europe,1,0.34375,8
Armenia,Iceland,0,Central and Eastern Europe,Northern Europe,0,1.0833333333333333,12
Armenia,Ireland,0,Central and Eastern Europe,Western Europe,0,0.25,8
Armenia,Israel,0,Central and Eastern Europe,Non-European,0,2.590909090909091,11
Armenia,Italy,0,Central and Eastern Europe,Southern Europe,0,3.125,8
Armenia,Latvia,0,Central and Eastern Europe,Northern Europe,0,0.3888888888888889,9
Armenia,Lithuania,0,Central and Eastern Europe,Northern Europe,0,0.4,10
Armenia,Malta,0,Central and Eastern Europe,Southern Europe,0,3.8125,8
Armenia,Moldova,0,Central and Eastern Europe,Central and Eastern Europe,1,3.0384615384615383,13
Armenia,Montenegro,0,Central and Eastern Europe,Central and Eastern Europe,1,4.071428571428571,7
Armenia,Netherlands,0,Central and Eastern Europe,Western Europe,0,2.3636363636363638,11
Armenia,North Macedonia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.9285714285714286,7
Armenia,Norway,0,Central and Eastern Europe,Northern Europe,0,2.9375,12
Armenia,Poland,0,Central and Eastern Europe,Central and Eastern Europe,1,1.25,8
Armenia,Portugal,0,Central and Eastern Europe,Southern Europe,0,2.4444444444444446,9
Armenia,Romania,0,Central and Eastern Europe,Central and Eastern Europe,1,1.3636363636363635,11
Armenia,Russia,0,Central and Eastern Europe,Central and Eastern Europe,1,10.522727272727273,11
Armenia,San Marino,0,Central and Eastern Europe,Southern Europe,0,1.9166666666666667,6
Armenia,Serbia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.9375,8
Armenia,Slovenia,0,Central and Eastern Europe,Central and Eastern Europe,1,0.6,10
Armenia,Spain,0,Central and Eastern Europe,Southern Europe,0,0.8846153846153846,13
Armenia,Sweden,0,Central and Eastern Europe,Northern Europe,0,3.4615384615384617,13
Armenia,Switzerland,0,Central and Eastern Europe,Western Europe,0,1.9166666666666667,9
Armenia,Türkiye,1,Central and Eastern Europe,Southern Europe,0,1.5,6
Armenia,Ukraine,0,Central and Eastern Europe,Central and Eastern Europe,1,6.636363636363637,11
Armenia,United Kingdom,0,Central and Eastern Europe,Western Europe,0,0.9230769230769231,13
Australia,Albania,0,Non-European,Central and Eastern Europe,0,0.0,5
Australia,Armenia,0,Non-European,Central and Eastern Europe,0,0.9166666666666666,3
Australia,Austria,0,Non-European,Western Europe,0,1.375,4
Australia,Azerbaijan,0,Non-European,Central and Eastern Europe,0,0.875,4
Australia,Belarus,0,Non-European,Central and Eastern Europe,0,0.875,4
Australia,Belgium,0,Non-European,Western Europe,0,5.25,4
Australia,Bulgaria,0,Non-European,Central and Eastern Europe,0,5.166666666666667,3
Australia,Cyprus,0,Non-European,Southern Europe,0,1.75,5
Australia,Czech Republic,0,Non-European,Central and Eastern Europe,0,2.25,5
Australia,Denmark,0,Non-European,Northern Europe,0,3.6,5
Australia,Estonia,0,Non-European,Northern Europe,0,3.25,3
Australia,Finland,0,Non-European,Northern Europe,0,1.875,4
Australia,France,0,Non-European,Western Europe,0,2.6,5
Australia,Georgia,0,Non-European,Central and Eastern Europe,0,1.3,5
Australia,Germany,0,Non-European,Western Europe,0,1.5,5
Australia,Greece,0,Non-European,Southern Europe,0,2.5833333333333335,3
Australia,Hungary,0,Non-European,Central and Eastern Europe,0,1.25,5
Australia,Iceland,0,Non-European,Northern Europe,0,3.6666666666666665,3
Australia,Ireland,0,Non-European,Western Europe,0,3.1666666666666665,3
Australia,Israel,0,Non-European,Non-European,1,4.0,5
Australia,Italy,0,Non-European,Southern Europe,0,2.3,5
Australia,Latvia,0,Non-European,Northern Europe,0,3.3125,4
Australia,Lithuania,0,Non-European,Northern Europe,0,3.0833333333333335,3
Australia,Malta,0,Non-European,Southern Europe,0,3.25,4
Australia,Moldova,0,Non-European,Central and Eastern Europe,0,6.25,3
Australia,Montenegro,0,Non-European,Central and Eastern Europe,0,0.875,4
Australia,Netherlands,0,Non-European,Western Europe,0,2.0,5
Australia,North Macedonia,0,Non-European,Central and Eastern Europe,0,3.1666666666666665,3
Australia,Norway,0,Non-European,Northern Europe,0,3.65,5
Australia,Poland,0,Non-European,Central and Eastern Europe,0,2.1,5
Australia,Portugal,0,Non-European,Southern Europe,0,2.375,4
Australia,Romania,0,Non-European,Central and Eastern Europe,0,1.8333333333333333,3
Australia,Russia,0,Non-European,Central and Eastern Europe,0,4.125,4
Australia,San Marino,0,Non-European,Southern Europe,0,0.9166666666666666,3
Australia,Serbia,0,Non-European,Central and Eastern Europe,0,2.6875,4
Australia,Slovenia,0,Non-European,Central and Eastern Europe,0,1.4,5
Australia,Spain,0,Non-European,Southern Europe,0,1.4,5
Australia,Sweden,0,Non-European,Northern Europe,0,8.0,5
Australia,Switzerland,0,Non-European,Western Europe,0,1.3333333333333333,3
Australia,Ukraine,0,Non-European,Central and Eastern Europe,0,2.0833333333333335,3
Australia,United Kingdom,0,Non-European,Western Europe,0,2.9,5
Austria,Albania,0,Western Europe,Central and Eastern Europe,0,4.035714285714286,7
Austria,Andorra,0,Western Europe,Western Europe,1,0.0,3
Austria,Armenia,0,Western Europe,Central and Eastern Europe,0,3.15625,8
Austria,Australia,0,Western Europe,Non-European,0,4.2,5
Austria,Azerbaijan,0,Western Europe,Central and Eastern Europe,0,3.0555555555555554,9
Austria,Belarus,0,Western Europe,Central and Eastern Europe,0,0.975,10
Austria,Belgium,0,Western Europe,Western Europe,1,1.9230769230769231,13
Austria,Bulgaria,0,Western Europe,Central and Eastern Europe,0,4.083333333333333,6
Austria,Croatia,0,Western Europe,Central and Eastern Europe,0,5.5,11
Austria,Cyprus,0,Western Europe,Southern Europe,0,0.6785714285714286,14
Austria,Czech Republic,1,Western Europe,Central and Eastern Europe,0,3.375,4
Austria,Denmark,0,Western Europe,Northern Europe,0,2.4615384615384617,13
Austria,Estonia,0,Western Europe,Northern Europe,0,1.6071428571428572,14
Austria,Finland,0,Western Europe,Northern Europe,0,0.5833333333333334,12
Austria,France,0,Western Europe,Western Europe,1,0.5666666666666667,15
Austria,Georgia,0,Western Europe,Central and Eastern Europe,0,0.16666666666666666,6
Austria,Germany,1,Western Europe,Western Europe,1,4.266666666666667,15
Austria,Greece,0,Western Europe,Southern Europe,0,1.3214285714285714,14
Austria,Hungary,1,Western Europe,Central and Eastern Europe,0,3.175,10
Austria,Iceland,0,Western Europe,Northern Europe,0,0.75,12
Austria,Ireland,0,Western Europe,Western Europe,1,2.2291666666666665,12
Austria,Israel,0,Western Europe,Non-European,0,1.5,14
Austria,Italy,1,Western Europe,Southern Europe,0,5.5,9
Austria,Latvia,0,Western Europe,Northern Europe,0,2.3181818181818183,11
Austria,Lithuania,0,Western Europe,Northern Europe,0,0.07692307692307693,13
Austria,Malta,0,Western Europe,Southern Europe,0,2.0416666666666665,12
Austria,Moldova,0,Western Europe,Central and Eastern Europe,0,1.7,10
Austria,Montenegro,0,Western Europe,Central and Eastern Europe,0,0.0,6
Austria,Netherlands,0,Western Europe,Western Europe,1,3.173076923076923,13
Austria,North Macedonia,0,Western Europe,Central and Eastern Europe,0,1.0208333333333333,12
Austria,Norway,0,Western Europe,Northern Europe,0,1.4583333333333333,12
Austria,Poland,0,Western Europe,Central and Eastern Europe,0,3.625,8
Austria,Portugal,0,Western Europe,Southern Europe,0,2.0,6
Austria,Romania,0,Western Europe,Central and Eastern Europe,0,3.5576923076923075,13
Austria,Russia,0,Western Europe,Central and Eastern Europe,0,3.7115384615384617,13
Austria,San Marino,0,Western Europe,Southern Europe,0,0.5,5
Austria,Serbia,0,Western Europe,Central and Eastern Europe,0,7.090909090909091,11
Austria,Slovenia,1,Western Europe,Central and Eastern Europe,0,1.6818181818181819,11
Austria,Spain,0,Western Europe,Southern Europe,0,0.4,15
Austria,Sweden,0,Western Europe,Northern Europe,0,3.85,15
Austria,Switzerland,1,Western Europe,Western Europe,1,2.8863636363636362,11
Austria,Türkiye,0,Western Europe,Southern Europe,0,6.714285714285714,7
Austria,Ukraine,0,Western Europe,Central and Eastern Europe,0,1.7727272727272727,11
Austria,United Kingdom,0,Western Europe,Western Europe,1,0.8333333333333334,15
Azerbaijan,Albania,0,Central and Eastern Europe,Central and Eastern Europe,1,2.659090909090909,11
Azerbaijan,Armenia,1,Central and Eastern Europe,Central and Eastern Europe,1,0.0,11
Azerbaijan,Australia,0,Central and Eastern Europe,Non-European,0,1.55,5
Azerbaijan,Austria,0,Central and Eastern Europe,Western Europe,0,0.46875,8
Azerbaijan,Belarus,0,Central and Eastern Europe,Central and Eastern Europe,1,5.833333333333333,6
Azerbaijan,Belgium,0,Central and Eastern Europe,Western Europe,0,0.8611111111111112,9
Azerbaijan,Bulgaria,0,Central and Eastern Europe,Central and Eastern Europe,1,4.4,5
Azerbaijan,Croatia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.375,8
Azerbaijan,Cyprus,0,Central and Eastern Europe,Southern Europe,0,1.5,8
Azerbaijan,Czech Republic,0,Central and Eastern Europe,Central and Eastern Europe,1,1.35,5
Azerbaijan,Denmark,0,Central and Eastern Europe,Northern Europe,0,1.1,10
Azerbaijan,Estonia,0,Central and Eastern Europe,Northern Europe,0,1.575,10
Azerbaijan,Finland,0,Central and Eastern Europe,Northern Europe,0,0.3333333333333333,9
Azerbaijan,France,0,Central and Eastern Europe,Western Europe,0,0.375,12
Azerbaijan,Georgia,1,Central and Eastern Europe,Central and Eastern Europe,1,8.214285714285714,7
Azerbaijan,Germany,0,Central and Eastern Europe,Western Europe,0,0.2916666666666667,12
Azerbaijan,Greece,0,Central and Eastern Europe,Southern Europe,0,4.270833333333333,12
Azerbaijan,Hungary,0,Central and Eastern Europe,Central and Eastern Europe,1,3.5555555555555554,9
Azerbaijan,Iceland,0,Central and Eastern Europe,Northern Europe,0,0.5,12
Azerbaijan,Ireland,0,Central and Eastern Europe,Western Europe,0,0.8888888888888888,9
Azerbaijan,Israel,0,Central and Eastern Europe,Non-European,0,4.275,10
Azerbaijan,Italy,0,Central and Eastern Europe,Southern Europe,0,2.2222222222222223,9
Azerbaijan,Latvia,0,Central and Eastern Europe,Northern Europe,0,2.2777777777777777,9
Azerbaijan,Lithuania,0,Central and Eastern Europe,Northern Europe,0,2.0277777777777777,9
Azerbaijan,Malta,0,Central and Eastern Europe,Southern Europe,0,5.28125,8
Azerbaijan,Moldova,0,Central and Eastern Europe,Central and Eastern Europe,1,4.386363636363637,11
Azerbaijan,Montenegro,0,Central and Eastern Europe,Central and Eastern Europe,1,3.0,6
Azerbaijan,Netherlands,0,Central and Eastern Europe,Western Europe,0,1.0277777777777777,9
Azerbaijan,North Macedonia,0,Central and Eastern Europe,Central and Eastern Europe,1,2.5,4
Azerbaijan,Norway,0,Central and Eastern Europe,Northern Europe,0,2.3181818181818183,11
Azerbaijan,Poland,0,Central and Eastern Europe,Central and Eastern Europe,1,1.3571428571428572,7
Azerbaijan,Portugal,0,Central and Eastern Europe,Southern Europe,0,1.75,8
Azerbaijan,Romania,0,Central and Eastern Europe,Central and Eastern Europe,1,4.4,10
Azerbaijan,Russia,1,Central and Eastern Europe,Central and Eastern Europe,1,7.95,10
Azerbaijan,San Marino,0,Central and Eastern Europe,Southern Europe,0,3.5,8
Azerbaijan,Serbia,0,Central and Eastern Europe,Central and Eastern Europe,1,0.7777777777777778,9
Azerbaijan,Slovenia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.1666666666666667,9
Azerbaijan,Spain,0,Central and Eastern Europe,Southern Europe,0,0.20833333333333334,12
Azerbaijan,Sweden,0,Central and Eastern Europe,Northern Europe,0,1.75,12
Azerbaijan,Switzerland,0,Central and Eastern Europe,Western Europe,0,0.9375,8
Azerbaijan,Türkiye,0,Central and Eastern Europe,Southern Europe,0,12.0,5
Azerbaijan,Ukraine,0,Central and Eastern Europe,Central and Eastern Europe,1,9.55,10
Azerbaijan,United Kingdom,0,Central and Eastern Europe,Western Europe,0,0.5833333333333334,12
Belarus,Albania,0,Central and Eastern Europe,Central and Eastern Europe,1,0.6041666666666666,12
Belarus,Andorra,0,Central and Eastern Europe,Western Europe,0,0.8,5
Belarus,Armenia,0,Central and Eastern Europe,Central and Eastern Europe,1,5.7727272727272725,11
Belarus,Australia,0,Central and Eastern Europe,Non-European,0,4.2,5
Belarus,Austria,0,Central and Eastern Europe,Western Europe,0,0.975,10
Belarus,Azerbaijan,0,Central and Eastern Europe,Central and Eastern Europe,1,5.375,12
Belarus,Belgium,0,Central and Eastern Europe,Western Europe,0,1.6538461538461537,13
Belarus,Bulgaria,0,Central and Eastern Europe,Central and Eastern Europe,1,2.1,10
Belarus,Croatia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.5227272727272727,11
Belarus,Cyprus,0,Central and Eastern Europe,Southern Europe,0,1.1785714285714286,14
Belarus,Czech Republic,0,Central and Eastern Europe,Central and Eastern Europe,1,1.625,6
Belarus,Denmark,0,Central and Eastern Europe,Northern Europe,0,1.046875,16
Belarus,Estonia,0,Central and Eastern Europe,Northern Europe,0,2.25,13
Belarus,Finland,0,Central and Eastern Europe,Northern Europe,0,1.3269230769230769,13
Belarus,France,0,Central and Eastern Europe,Western Europe,0,0.5625,16
Belarus,Georgia,0,Central and Eastern Europe,Central and Eastern Europe,1,6.0,10
Belarus,Germany,0,Central and Eastern Europe,Western Europe,0,0.5,16
Belarus,Greece,0,Central and Eastern Europe,Southern Europe,0,2.6666666666666665,15
Belarus,Hungary,0,Central and Eastern Europe,Central and Eastern Europe,1,1.375,12
Belarus,Iceland,0,Central and Eastern Europe,Northern Europe,0,1.7692307692307692,13
Belarus,Ireland,0,Central and Eastern Europe,Western Europe,0,0.4375,12
Belarus,Israel,0,Central and Eastern Europe,Non-European,0,3.25,14
Belarus,Italy,0,Central and Eastern Europe,Southern Europe,0,1.2222222222222223,9
Belarus,Latvia,1,Central and Eastern Europe,Northern Europe,0,2.6666666666666665,9
Belarus,Lithuania,1,Central and Eastern Europe,Northern Europe,0,3.375,14
Belarus,Malta,0,Central and Eastern Europe,Southern Europe,0,2.730769230769231,13
Belarus,Moldova,0,Central and Eastern Europe,Central and Eastern Europe,1,5.454545454545454,11
Belarus,Monaco,0,Central and Eastern Europe,Western Europe,0,0.0,3
Belarus,Montenegro,0,Central and Eastern Europe,Central and Eastern Europe,1,0.8333333333333334,6
Belarus,Netherlands,0,Central and Eastern Europe,Western Europe,0,1.2115384615384615,13
Belarus,North Macedonia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.0,15
Belarus,Norway,0,Central and Eastern Europe,Northern Europe,0,3.55,15
Belarus,Poland,1,Central and Eastern Europe,Central and Eastern Europe,1,3.3636363636363638,11
Belarus,Portugal,0,Central and Eastern Europe,Southern Europe,0,1.8636363636363635,11
Belarus,Romania,0,Central and Eastern Europe,Central and Eastern Europe,1,1.0576923076923077,13
Belarus,Russia,1,Central and Eastern Europe,Central and Eastern Europe,1,10.678571428571429,14
Belarus,San Marino,0,Central and Eastern Europe,Southern Europe,0,0.9166666666666666,3
Belarus,Serbia,0,Central and Eastern Europe,Central and Eastern Europe,1,2.6346153846153846,13
Belarus,Slovakia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.0,3
Belarus,Slovenia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.1875,12
Belarus,Spain,0,Central and Eastern Europe,Southern Europe,0,0.125,16
Belarus,Sweden,0,Central and Eastern Europe,Northern Europe,0,3.2666666666666666,15
Belarus,Switzerland,0,Central and Eastern Europe,Western Europe,0,1.5416666666666667,12
Belarus,Türkiye,0,Central and Eastern Europe,Southern Europe,0,1.5,8
Belarus,Ukraine,1,Central and Eastern Europe,Central and Eastern Europe,1,8.964285714285714,14
Belarus,United Kingdom,0,Central and Eastern Europe,Western Europe,0,0.375,16
Belgium,Albania,0,Western Europe,Central and Eastern Europe,0,2.4285714285714284,14
Belgium,Andorra,0,Western Europe,Western Europe,1,0.0,6
Belgium,Armenia,0,Western Europe,Central and Eastern Europe,0,6.613636363636363,11
Belgium,Australia,0,Western Europe,Non-European,0,5.05,5
Belgium,Austria,0,Western Europe,Western Europe,1,2.767857142857143,14
Belgium,Azerbaijan,0,Western Europe,Central and Eastern Europe,0,2.0208333333333335,12
Belgium,Belarus,0,Western Europe,Central and Eastern Europe,0,0.07142857142857142,14
Belgium,Bulgaria,0,Western Europe,Central and Eastern Europe,0,2.4375,8
Belgium,Croatia,0,Western Europe,Central and Eastern Europe,0,0.038461538461538464,13
Belgium,Cyprus,0,Western Europe,Southern Europe,0,1.71875,16
Belgium,Czech Republic,0,Western Europe,Central and Eastern Europe,0,2.4583333333333335,6
Belgium,Denmark,0,Western Europe,Northern Europe,0,2.638888888888889,18
Belgium,Estonia,0,Western Europe,Northern Europe,0,1.1764705882352942,17
Belgium,Finland,0,Western Europe,Northern Europe,0,1.5,17
Belgium,France,1,Western Europe,Western Europe,1,3.236842105263158,19
Belgium,Georgia,0,Western Europe,Central and Eastern Europe,0,1.5833333333333333,9
Belgium,Germany,1,Western Europe,Western Europe,1,1.5526315789473684,19
Belgium,Greece,0,Western Europe,Southern Europe,0,5.338235294117647,17
Belgium,Hungary,0,Western Europe,Central and Eastern Europe,0,2.3636363636363638,11
Belgium,Iceland,0,Western Europe,Northern Europe,0,1.875,16
Belgium,Ireland,0,Western Europe,Western Europe,1,2.4038461538461537,13
Belgium,Israel,0,Western Europe,Non-European,0,1.8676470588235294,17
Belgium,Italy,0,Western Europe,Southern Europe,0,4.722222222222222,9
Belgium,Latvia,0,Western Europe,Northern Europe,0,2.6166666666666667,15
Belgium,Lithuania,0,Western Europe,Northern Europe,0,1.0208333333333333,12
Belgium,Malta,0,Western Europe,Southern Europe,0,1.4285714285714286,14
Belgium,Moldova,0,Western Europe,Central and Eastern Europe,0,1.2692307692307692,13
Belgium,Monaco,0,Western Europe,Western Europe,1,0.0,3
Belgium,Montenegro,0,Western Europe,Central and Eastern Europe,0,0.0,9
Belgium,Netherlands,1,Western Europe,Western Europe,1,8.6,15
Belgium,North Macedonia,0,Western Europe,Central and Eastern Europe,0,0.0,14
Belgium,Norway,0,Western Europe,Northern Europe,0,2.235294117647059,17
Belgium,Poland,0,Western Europe,Central and Eastern Europe,0,2.4583333333333335,12
Belgium,Portugal,0,Western Europe,Southern Europe,0,4.520833333333333,12
Belgium,Romania,0,Western Europe,Central and Eastern Europe,0,2.6875,16
Belgium,Russia,0,Western Europe,Central and Eastern Europe,0,3.0294117647058822,17
Belgium,San Marino,0,Western Europe,Southern Europe,0,0.125,4
Belgium,Serbia,0,Western Europe,Central and Eastern Europe,0,1.5625,12
Belgium,Slovenia,0,Western Europe,Central and Eastern Europe,0,0.6166666666666667,15
Belgium,Spain,0,Western Europe,Southern Europe,0,2.6578947368421053,19
Belgium,Sweden,0,Western Europe,Northern Europe,0,4.180555555555555,18
Belgium,Switzerland,0,Western Europe,Western Europe,1,0.8076923076923077,13
Belgium,Türkiye,0,Western Europe,Southern Europe,0,8.681818181818182,11
Belgium,Ukraine,0,Western Europe,Central and Eastern Europe,0,1.7333333333333334,15
Belgium,United Kingdom,0,Western Europe,Western Europe,1,0.47368421052631576,19
Bulgaria,Albania,0,Central and Eastern Europe,Central and Eastern Europe,1,1.025,10
Bulgaria,Andorra,0,Central and Eastern Europe,Western Europe,0,0.0,4
Bulgaria,Armenia,0,Central and Eastern Europe,Central and Eastern Europe,1,7.222222222222222,9
Bulgaria,Australia,0,Central and Eastern Europe,Non-European,0,2.6666666666666665,3
Bulgaria,Austria,0,Central and Eastern Europe,Western Europe,0,4.083333333333333,6
Bulgaria,Azerbaijan,0,Central and Eastern Europe,Central and Eastern Europe,1,5.277777777777778,9
Bulgaria,Belarus,0,Central and Eastern Europe,Central and Eastern Europe,1,2.1041666666666665,12
Bulgaria,Belgium,0,Central and Eastern Europe,Western Europe,0,2.25,10
