from_country,to_country,neighboring,from_country_region,to_country_region,same_region,mean,count
Albania,Andorra,0,Central and Eastern Europe,Western Europe,0,1.5,4
Albania,Armenia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.0576923076923077,13
Albania,Australia,0,Central and Eastern Europe,Non-European,0,3.4,5
Albania,Austria,0,Central and Eastern Europe,Western Europe,0,1.0681818181818181,11
Albania,Azerbaijan,0,Central and Eastern Europe,Central and Eastern Europe,1,3.2291666666666665,12
Albania,Belarus,0,Central and Eastern Europe,Central and Eastern Europe,1,0.5,13
Albania,Belgium,0,Central and Eastern Europe,Western Europe,0,1.375,12
Albania,Bulgaria,0,Central and Eastern Europe,Central and Eastern Europe,1,5.15625,8
Albania,Croatia,0,Central and Eastern Europe,Central and Eastern Europe,1,2.272727272727273,11
Albania,Cyprus,0,Central and Eastern Europe,Southern Europe,0,3.326923076923077,13
Albania,Czech Republic,0,Central and Eastern Europe,Central and Eastern Europe,1,0.125,6
Albania,Denmark,0,Central and Eastern Europe,Northern Europe,0,0.640625,16
Albania,Estonia,0,Central and Eastern Europe,Northern Europe,0,0.5,13
Albania,Finland,0,Central and Eastern Europe,Northern Europe,0,0.9285714285714286,14
Albania,France,0,Central and Eastern Europe,Western Europe,0,1.59375,16
Albania,Georgia,0,Central and Eastern Europe,Central and Eastern Europe,1,0.3125,8
Albania,Germany,0,Central and Eastern Europe,Western Europe,0,2.75,16
Albania,Greece,1,Central and Eastern Europe,Southern Europe,0,9.133333333333333,15
Albania,Hungary,0,Central and Eastern Europe,Central and Eastern Europe,1,2.6666666666666665,12
Albania,Iceland,0,Central and Eastern Europe,Northern Europe,0,1.0357142857142858,14
Albania,Ireland,0,Central and Eastern Europe,Western Europe,0,1.1875,12
Albania,Israel,0,Central and Eastern Europe,Non-European,0,2.3392857142857144,14
Albania,Italy,0,Central and Eastern Europe,Southern Europe,0,10.5,9
Albania,Latvia,0,Central and Eastern Europe,Northern Europe,0,0.017857142857142856,14
Albania,Lithuania,0,Central and Eastern Europe,Northern Europe,0,0.36538461538461536,13
Albania,Malta,0,Central and Eastern Europe,Southern Europe,0,2.923076923076923,13
Albania,Moldova,0,Central and Eastern Europe,Central and Eastern Europe,1,1.2884615384615385,13
Albania,Monaco,0,Central and Eastern Europe,Western Europe,0,0.6666666666666666,3
Albania,Montenegro,1,Central and Eastern Europe,Central and Eastern Europe,1,6.8,5
Albania,Netherlands,0,Central and Eastern Europe,Western Europe,0,2.1041666666666665,12
Albania,North Macedonia,1,Central and Eastern Europe,Central and Eastern Europe,1,9.291666666666666,12
Albania,Norway,0,Central and Eastern Europe,Northern Europe,0,1.671875,16
Albania,Poland,0,Central and Eastern Europe,Central and Eastern Europe,1,1.2291666666666667,12
Albania,Portugal,0,Central and Eastern Europe,Southern Europe,0,1.6818181818181819,11
Albania,Romania,0,Central and Eastern Europe,Central and Eastern Europe,1,1.75,14
Albania,Russia,0,Central and Eastern Europe,Central and Eastern Europe,1,2.375,14
Albania,San Marino,0,Central and Eastern Europe,Southern Europe,0,6.1,5
Albania,Serbia,0,Central and Eastern Europe,Central and Eastern Europe,1,2.3333333333333335,12
Albania,Slovenia,0,Central and Eastern Europe,Central and Eastern Europe,1,1.7083333333333333,12
Albania,Spain,0,Central and Eastern Europe,Southern Europe,0,3.25,16
Albania,Sweden,0,Central and Eastern Europe,Northern Europe,0,3.05,15
Albania,Switzerland,0,Central and Eastern Europe,Western Europe,0,2.1875,12
Albania,Türkiye,0,Central and Eastern Europe,Southern Europe,0,10.055555555555555,9
Albania,Ukraine,0,Central and Eastern Europe,Central and Eastern Europe,1,1.1785714285714286,14
Albania,United Kingdom,0,Central and Eastern Europe,Western Europe,0,1.4375,16
Andorra,Albania,0,Western Europe,Central and Eastern Europe,0,0.5,6
Andorra,Armenia,0,Western Europe,Central and Eastern Europe,0,0.375,4
Andorra,Austria,0,Western Europe,Western Europe,1,2.6666666666666665,3
Andorra,Belarus,0,Western Europe,Central and Eastern Europe,0,0.0,5
Andorra,Belgium,0,Western Europe,Western Europe,1,1.3333333333333333,6
Andorra,Bulgaria,0,Western Europe,Central and Eastern Europe,0,0.0,4
Andorra,Croatia,0,Western Europe,Central and Eastern Europe,0,0.0,6
Andorra,Cyprus,0,Western Europe,Southern Europe,0,0.75,4
Andorra,Denmark,0,Western Europe,Northern Europe,0,2.0833333333333335,6
Andorra,Estonia,0,Western Europe,Northern Europe,0,0.0,6
Andorra,Finland,0,Western Europe,Northern Europe,0,5.25,6
Andorra,France,1,Western Europe,Western Europe,1,4.333333333333333,6
Andorra,Germany,0,Western Europe,Western Europe,1,0.8333333333333334,6
Andorra,Greece,0,Western Europe,Southern Europe,0,3.25,6
Andorra,Iceland,0,Western Europe,Northern Europe,0,2.6666666666666665,6
Andorra,Ireland,0,Western Europe,Western Europe,1,0.8,5
Andorra,Israel,0,Western Europe,Non-European,0,4.0,6
Andorra,Latvia,0,Western Europe,Northern Europe,0,1.6,5
Andorra,Lithuania,0,Western Europe,Northern Europe,0,1.4,5
Andorra,Malta,0,Western Europe,Southern Europe,0,1.8,5
Andorra,Moldova,0,Western Europe,Central and Eastern Europe,0,0.6,5
Andorra,Monaco,0,Western Europe,Western Europe,1,6.333333333333333,3
Andorra,Montenegro,0,Western Europe,Central and Eastern Europe,0,0.3333333333333333,3
Andorra,Netherlands,0,Western Europe,Western Europe,1,3.1,5
Andorra,North Macedonia,0,Western Europe,Central and Eastern Europe,0,0.0,5
Andorra,Norway,0,Western Europe,Northern Europe,0,3.75,6
Andorra,Poland,0,Western Europe,Central and Eastern Europe,0,2.4,5
Andorra,Portugal,0,Western Europe,Southern Europe,0,9.5,6
Andorra,Romania,0,Western Europe,Central and Eastern Europe,0,4.25,6
Andorra,Russia,0,Western Europe,Central and Eastern Europe,0,2.0833333333333335,6
Andorra,Serbia,0,Western Europe,Central and Eastern Europe,0,0.375,4
